A:01 F:B0 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:0101 PCMEM:00,C3,50,01 LY:00 STAT:80 LCDC:00 DIV:00
A:01 F:B0 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:0102 PCMEM:C3,50,01,CE LY:00 STAT:80 LCDC:00 DIV:00
A:01 F:B0 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:0151 PCMEM:C3,0C,02,CD LY:00 STAT:80 LCDC:00 DIV:00
A:01 F:B0 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:020D PCMEM:AF,21,FF,DF LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:80 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:020E PCMEM:21,FF,DF,0E LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:80 B:00 C:13 D:00 E:D8 H:DF L:FF SP:FFFE PC:0211 PCMEM:0E,10,06,00 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:80 B:00 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0213 PCMEM:06,00,32,05 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:80 B:00 C:10 D:00 E:D8 H:DF L:FF SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:80 B:00 C:10 D:00 E:D8 H:DF L:FE SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:60 B:FF C:10 D:00 E:D8 H:DF L:FE SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:60 B:FF C:10 D:00 E:D8 H:DF L:FE SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:60 B:FF C:10 D:00 E:D8 H:DF L:FD SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FE C:10 D:00 E:D8 H:DF L:FD SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FE C:10 D:00 E:D8 H:DF L:FD SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FE C:10 D:00 E:D8 H:DF L:FC SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FD C:10 D:00 E:D8 H:DF L:FC SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FD C:10 D:00 E:D8 H:DF L:FC SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FD C:10 D:00 E:D8 H:DF L:FB SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FC C:10 D:00 E:D8 H:DF L:FB SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FC C:10 D:00 E:D8 H:DF L:FB SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FC C:10 D:00 E:D8 H:DF L:FA SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FB C:10 D:00 E:D8 H:DF L:FA SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FB C:10 D:00 E:D8 H:DF L:FA SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FB C:10 D:00 E:D8 H:DF L:F9 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FA C:10 D:00 E:D8 H:DF L:F9 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FA C:10 D:00 E:D8 H:DF L:F9 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:FA C:10 D:00 E:D8 H:DF L:F8 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:F9 C:10 D:00 E:D8 H:DF L:F8 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:F9 C:10 D:00 E:D8 H:DF L:F8 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:F9 C:10 D:00 E:D8 H:DF L:F7 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:00
A:00 F:40 B:F8 C:10 D:00 E:D8 H:DF L:F7 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F8 C:10 D:00 E:D8 H:DF L:F7 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F8 C:10 D:00 E:D8 H:DF L:F6 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F7 C:10 D:00 E:D8 H:DF L:F6 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:01
A:00 F:40 B:F7 C:10 D:00 E:D8 H:DF L:F6 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:01
